employee_id,employee_name,iban,subsidiary_id,pay_period,gross_amount,taxes_amount,net_amount,currency
DE001-E001,Employee 1 DE001,DE00********2824,DE001,2025-07,2600.04,568.12,2031.92,EUR
DE001-E002,Employee 2 DE001,DE00********4657,DE001,2025-07,3058.15,594.35,2463.8,EUR
DE001-E003,Employee 3 DE001,DE00********9935,DE001,2025-07,2847.76,680.81,2166.95,EUR
DE001-E004,Employee 4 DE001,DE00********1488,DE001,2025-07,2874.78,611.1,2263.68,EUR
DE001-E005,Employee 5 DE001,DE00********1434,DE001,2025-07,4744.98,1329.75,3415.23,EUR
DE001-E006,Employee 6 DE001,DE00********9928,DE001,2025-07,4178.08,1014.81,3163.27,EUR
DE001-E007,Employee 7 DE001,DE00********5557,DE001,2025-07,5737.72,1038.01,4699.71,EUR
DE001-E008,Employee 8 DE001,DE00********3615,DE001,2025-07,5292.56,1204.77,4087.79,EUR
DE001-E009,Employee 9 DE001,DE00********3547,DE001,2025-07,3361.26,964.31,2396.95,EUR
DE001-E010,Employee 10 DE001,DE00********2674,DE001,2025-07,2870.98,555.65,2315.33,EUR
DE001-E011,Employee 11 DE001,DE00********6635,DE001,2025-07,4914.9,1440.06,3474.84,EUR
DE001-E012,Employee 12 DE001,DE00********8527,DE001,2025-07,4644.91,1468.89,3176.02,EUR
DE001-E013,Employee 13 DE001,DE00********7201,DE001,2025-07,2815.2,622.29,2192.91,EUR
DE001-E014,Employee 14 DE001,DE00********6925,DE001,2025-07,4809.41,1340.09,3469.32,EUR
DE001-E015,Employee 15 DE001,DE00********1750,DE001,2025-07,5145.05,1482.96,3662.09,EUR
DE001-E016,Employee 16 DE001,DE00********2307,DE001,2025-07,5921.27,1784.12,4137.15,EUR
DE001-E017,Employee 17 DE001,DE00********7227,DE001,2025-07,3611.89,971.58,2640.31,EUR
DE001-E018,Employee 18 DE001,DE00********6977,DE001,2025-07,3150.62,723.82,2426.8,EUR
DE001-E019,Employee 19 DE001,DE00********5374,DE001,2025-07,5307.28,1463.2,3844.08,EUR
DE001-E020,Employee 20 DE001,DE00********2169,DE001,2025-07,4936.52,1006.85,3929.67,EUR
DE001-E021,Employee 21 DE001,DE00********5010,DE001,2025-07,3153.61,735.18,2418.43,EUR
DE001-E022,Employee 22 DE001,DE00********4598,DE001,2025-07,5238.46,1561.06,3677.4,EUR
DE001-E023,Employee 23 DE001,DE00********1916,DE001,2025-07,3416.19,630.27,2785.92,EUR
DE001-E024,Employee 24 DE001,DE00********6168,DE001,2025-07,4104.66,776.87,3327.79,EUR
DE001-E025,Employee 25 DE001,DE00********6155,DE001,2025-07,3350.51,837.27,2513.24,EUR
DE001-E026,Employee 26 DE001,DE00********8517,DE001,2025-07,3071.49,612.91,2458.58,EUR
DE001-E027,Employee 27 DE001,DE00********9830,DE001,2025-07,3550.97,929.79,2621.18,EUR
DE001-E028,Employee 28 DE001,DE00********7543,DE001,2025-07,3947.99,1261.88,2686.11,EUR
DE001-E029,Employee 29 DE001,DE00********3266,DE001,2025-07,4538.11,874.62,3663.49,EUR
DE001-E030,Employee 30 DE001,DE00********1771,DE001,2025-07,5944.41,1197.19,4747.22,EUR
DE001-E031,Employee 31 DE001,DE00********3621,DE001,2025-07,5668.32,1355.31,4313.01,EUR
DE001-E032,Employee 32 DE001,DE00********2040,DE001,2025-07,4039.07,1063.99,2975.08,EUR
DE001-E033,Employee 33 DE001,DE00********8668,DE001,2025-07,4616.46,1458.58,3157.88,EUR
DE001-E034,Employee 34 DE001,DE00********1188,DE001,2025-07,5221.13,1023.54,4197.59,EUR
DE001-E035,Employee 35 DE001,DE00********9797,DE001,2025-07,5503.51,1582.83,3920.68,EUR
DE001-E036,Employee 36 DE001,DE00********6573,DE001,2025-07,2946.21,709.65,2236.56,EUR
DE001-E037,Employee 37 DE001,DE00********8433,DE001,2025-07,2512.98,706.38,1806.6,EUR
DE001-E038,Employee 38 DE001,DE00********5315,DE001,2025-07,6387.55,1831.15,4556.4,EUR
DE001-E039,Employee 39 DE001,DE00********9317,DE001,2025-07,6150.51,1856.67,4293.84,EUR
DE001-E040,Employee 40 DE001,DE00********5889,DE001,2025-07,5866.68,1472.96,4393.72,EUR
DE001-E001,Employee 1 DE001,DE00********4258,DE001,2025-08,3111.36,892.19,2219.17,EUR
DE001-E002,Employee 2 DE001,DE00********9837,DE001,2025-08,6314.0,1951.91,4362.09,EUR
DE001-E003,Employee 3 DE001,DE00********1009,DE001,2025-08,4895.78,1216.14,3679.64,EUR
DE001-E004,Employee 4 DE001,DE00********2832,DE001,2025-08,6216.39,1883.7,4332.69,EUR
DE001-E005,Employee 5 DE001,DE00********6038,DE001,2025-08,3457.81,739.01,2718.8,EUR
DE001-E006,Employee 6 DE001,DE00********2290,DE001,2025-08,2842.61,705.08,2137.53,EUR
DE001-E007,Employee 7 DE001,DE00********2133,DE001,2025-08,6411.94,1632.34,4779.6,EUR
DE001-E008,Employee 8 DE001,DE00********3060,DE001,2025-08,3013.57,742.96,2270.61,EUR
DE001-E009,Employee 9 DE001,DE00********3705,DE001,2025-08,3560.23,1075.69,2484.54,EUR
DE001-E010,Employee 10 DE001,DE00********7932,DE001,2025-08,6357.45,1971.11,4386.34,EUR
DE001-E011,Employee 11 DE001,DE00********4295,DE001,2025-08,5351.8,1262.27,4089.53,EUR
DE001-E012,Employee 12 DE001,DE00********7118,DE001,2025-08,4252.4,1073.56,3178.84,EUR
DE001-E013,Employee 13 DE001,DE00********2982,DE001,2025-08,3491.62,659.79,2831.83,EUR
DE001-E014,Employee 14 DE001,DE00********1344,DE001,2025-08,4853.23,1029.93,3823.3,EUR
DE001-E015,Employee 15 DE001,DE00********4608,DE001,2025-08,2528.76,705.77,1822.99,EUR
DE001-E016,Employee 16 DE001,DE00********1964,DE001,2025-08,3415.77,1047.82,2367.95,EUR
DE001-E017,Employee 17 DE001,DE00********6413,DE001,2025-08,2783.43,593.76,2189.67,EUR
DE001-E018,Employee 18 DE001,DE00********8953,DE001,2025-08,3356.95,666.43,2690.52,EUR
DE001-E019,Employee 19 DE001,DE00********8744,DE001,2025-08,3471.99,854.86,2617.13,EUR
DE001-E020,Employee 20 DE001,DE00********7669,DE001,2025-08,3261.64,631.36,2630.28,EUR
DE001-E021,Employee 21 DE001,DE00********8062,DE001,2025-08,3917.19,930.55,2986.64,EUR
DE001-E022,Employee 22 DE001,DE00********1887,DE001,2025-08,5193.46,1650.39,3543.07,EUR
DE001-E023,Employee 23 DE001,DE00********2612,DE001,2025-08,2742.45,773.23,1969.22,EUR
DE001-E024,Employee 24 DE001,DE00********2790,DE001,2025-08,3494.63,722.09,2772.54,EUR
DE001-E025,Employee 25 DE001,DE00********8350,DE001,2025-08,3060.73,629.56,2431.17,EUR
DE001-E026,Employee 26 DE001,DE00********8579,DE001,2025-08,3499.23,1082.16,2417.07,EUR
DE001-E027,Employee 27 DE001,DE00********8260,DE001,2025-08,5732.09,1718.68,4013.41,EUR
DE001-E028,Employee 28 DE001,DE00********2604,DE001,2025-08,2702.35,864.48,1837.87,EUR
DE001-E029,Employee 29 DE001,DE00********1241,DE001,2025-08,6375.99,1974.59,4401.4,EUR
DE001-E030,Employee 30 DE001,DE00********4872,DE001,2025-08,3165.24,784.95,2380.29,EUR
DE001-E031,Employee 31 DE001,DE00********4502,DE001,2025-08,5958.6,1825.37,4133.23,EUR
DE001-E032,Employee 32 DE001,DE00********3697,DE001,2025-08,4015.89,1276.83,2739.06,EUR
DE001-E033,Employee 33 DE001,DE00********5345,DE001,2025-08,6206.07,1799.25,4406.82,EUR
DE001-E034,Employee 34 DE001,DE00********5673,DE001,2025-08,4192.03,1316.4,2875.63,EUR
DE001-E035,Employee 35 DE001,DE00********8973,DE001,2025-08,3119.19,691.02,2428.17,EUR
DE001-E036,Employee 36 DE001,DE00********1958,DE001,2025-08,4816.72,1232.63,3584.09,EUR
DE001-E037,Employee 37 DE001,DE00********6138,DE001,2025-08,2728.66,714.32,2014.34,EUR
DE001-E038,Employee 38 DE001,DE00********9238,DE001,2025-08,6177.55,1571.31,4606.24,EUR
DE001-E039,Employee 39 DE001,DE00********1931,DE001,2025-08,6343.12,1212.9,5130.22,EUR
DE001-E040,Employee 40 DE001,DE00********4044,DE001,2025-08,2774.09,525.73,2248.36,EUR
DE001-E001,Employee 1 DE001,DE00********4853,DE001,2025-09,4115.1,1283.18,2831.92,EUR
DE001-E002,Employee 2 DE001,DE00********5033,DE001,2025-09,4815.68,893.62,3922.06,EUR
DE001-E003,Employee 3 DE001,DE00********2343,DE001,2025-09,4176.9,1093.15,3083.75,EUR
DE001-E004,Employee 4 DE001,DE00********9565,DE001,2025-09,3765.48,815.25,2950.23,EUR
DE001-E005,Employee 5 DE001,DE00********6147,DE001,2025-09,3454.74,813.28,2641.46,EUR
DE001-E006,Employee 6 DE001,DE00********5915,DE001,2025-09,4328.9,1342.23,2986.67,EUR
DE001-E007,Employee 7 DE001,DE00********2188,DE001,2025-09,2537.26,677.35,1859.91,EUR
DE001-E008,Employee 8 DE001,DE00********2638,DE001,2025-09,2793.04,586.1,2206.94,EUR
DE001-E009,Employee 9 DE001,DE00********5345,DE001,2025-09,3029.83,693.41,2336.42,EUR
DE001-E010,Employee 10 DE001,DE00********2127,DE001,2025-09,6017.08,1394.36,4622.72,EUR
DE001-E011,Employee 11 DE001,DE00********3584,DE001,2025-09,4252.74,1088.92,3163.82,EUR
DE001-E012,Employee 12 DE001,DE00********5956,DE001,2025-09,4946.71,1574.11,3372.6,EUR
DE001-E013,Employee 13 DE001,DE00********9666,DE001,2025-09,2531.29,745.2,1786.09,EUR
DE001-E014,Employee 14 DE001,DE00********5905,DE001,2025-09,6227.02,1211.17,5015.85,EUR
DE001-E015,Employee 15 DE001,DE00********3200,DE001,2025-09,3557.86,1083.58,2474.28,EUR
